Region,Centroid_X,Centroid_Y,Total_Area,Max_Radiation,Average_Radiation,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
ES416,3144181.337277333,2117642.271196435,6925051537.635591,1691.5986,151.62405,1200,0.0,,,
ES416,3144181.337277333,2117642.271196435,6925051537.635591,1691.5986,151.62405,1300,0.0,,,
ES416,3144181.337277333,2117642.271196435,6925051537.635591,1691.5986,151.62405,1400,33750.0,1466.144287109375,3192637.5,2111062.5
ES416,3144181.337277333,2117642.271196435,6925051537.635591,1691.5986,151.62405,1500,31856875.0,1588.309814453125,3175887.5,2108787.5
ES416,3144181.337277333,2117642.271196435,6925051537.635591,1691.5986,151.62405,1600,608787500.0,1641.2506103515625,3171837.5,2130312.5
ES416,3144181.337277333,2117642.271196435,6925051537.635591,1691.5986,151.62405,1700,0.0,,,
ES416,3144181.337277333,2117642.271196435,6925051537.635591,1691.5986,151.62405,1800,0.0,,,
ES417,3273239.3190347548,2145217.1024878486,10304321207.88663,1686.6649,114.64396,700,0.0,,,
ES417,3273239.3190347548,2145217.1024878486,10304321207.88663,1686.6649,114.64396,800,0.0,,,
ES417,3273239.3190347548,2145217.1024878486,10304321207.88663,1686.6649,114.64396,900,0.0,,,
ES417,3273239.3190347548,2145217.1024878486,10304321207.88663,1686.6649,114.64396,1000,0.0,,,
ES417,3273239.3190347548,2145217.1024878486,10304321207.88663,1686.6649,114.64396,1100,0.0,,,
ES417,3273239.3190347548,2145217.1024878486,10304321207.88663,1686.6649,114.64396,1200,0.0,,,
ES417,3273239.3190347548,2145217.1024878486,10304321207.88663,1686.6649,114.64396,1300,20000.0,1389.136962890625,3306112.5,2196537.5
ES417,3273239.3190347548,2145217.1024878486,10304321207.88663,1686.6649,114.64396,1400,2379375.0,1484.8966064453125,3311612.5,2185687.5
ES417,3273239.3190347548,2145217.1024878486,10304321207.88663,1686.6649,114.64396,1500,133113125.0,1571.07080078125,3299137.5,2181762.5
ES417,3273239.3190347548,2145217.1024878486,10304321207.88663,1686.6649,114.64396,1600,590644375.0,1641.3529052734375,3224537.5,2154887.5
ES417,3273239.3190347548,2145217.1024878486,10304321207.88663,1686.6649,114.64396,1700,0.0,,,
ES417,3273239.3190347548,2145217.1024878486,10304321207.88663,1686.6649,114.64396,1800,0.0,,,
ES418,3088146.2530319984,2180813.983105269,8109416091.365311,1703.5247,53.860676,700,0.0,,,
ES418,3088146.2530319984,2180813.983105269,8109416091.365311,1703.5247,53.860676,800,0.0,,,
ES418,3088146.2530319984,2180813.983105269,8109416091.365311,1703.5247,53.860676,900,0.0,,,
ES418,3088146.2530319984,2180813.983105269,8109416091.365311,1703.5247,53.860676,1000,0.0,,,
ES418,3088146.2530319984,2180813.983105269,8109416091.365311,1703.5247,53.860676,1100,0.0,,,
ES418,3088146.2530319984,2180813.983105269,8109416091.365311,1703.5247,53.860676,1200,0.0,,,
ES418,3088146.2530319984,2180813.983105269,8109416091.365311,1703.5247,53.860676,1300,0.0,,,
ES418,3088146.2530319984,2180813.983105269,8109416091.365311,1703.5247,53.860676,1400,0.0,,,
ES418,3088146.2530319984,2180813.983105269,8109416091.365311,1703.5247,53.860676,1500,0.0,,,
ES418,3088146.2530319984,2180813.983105269,8109416091.365311,1703.5247,53.860676,1600,261676250.0,1667.8134765625,3093737.5,2194262.5
ES418,3088146.2530319984,2180813.983105269,8109416091.365311,1703.5247,53.860676,1700,370000.0,1703.4549560546875,3043137.5,2160687.5
ES418,3088146.2530319984,2180813.983105269,8109416091.365311,1703.5247,53.860676,1800,0.0,,,
ES41,3095680.2232265384,2192861.22350418,94220282669.55617,1755.0983,166.41475,700,0.0,,,
ES41,3095680.2232265384,2192861.22350418,94220282669.55617,1755.0983,166.41475,800,0.0,,,
ES41,3095680.2232265384,2192861.22350418,94220282669.55617,1755.0983,166.41475,900,0.0,,,
ES41,3095680.2232265384,2192861.22350418,94220282669.55617,1755.0983,166.41475,1000,0.0,,,
ES41,3095680.2232265384,2192861.22350418,94220282669.55617,1755.0983,166.41475,1100,80625.0,1191.15576171875,3249762.5,2307662.5
ES41,3095680.2232265384,2192861.22350418,94220282669.55617,1755.0983,166.41475,1200,70623125.0,1280.78076171875,3209412.5,2324637.5
ES41,3095680.2232265384,2192861.22350418,94220282669.55617,1755.0983,166.41475,1300,129991250.0,1364.20556640625,3198112.5,2317037.5
ES41,3095680.2232265384,2192861.22350418,94220282669.55617,1755.0983,166.41475,1400,308544375.0,1474.10546875,2940487.5,2336187.5
ES41,3095680.2232265384,2192861.22350418,94220282669.55617,1755.0983,166.41475,1500,1677036875.0,1565.6492919921875,3128337.5,2308362.5
ES41,3095680.2232265384,2192861.22350418,94220282669.55617,1755.0983,166.41475,1600,6083348125.0,1665.0914306640625,2996512.5,2243887.5
ES41,3095680.2232265384,2192861.22350418,94220282669.55617,1755.0983,166.41475,1700,1307526875.0,1713.61572265625,3028887.5,2153762.5
ES41,3095680.2232265384,2192861.22350418,94220282669.55617,1755.0983,166.41475,1800,0.0,,,
