CNTR_CODE;PopWgt;LandAreaWgt;;
LV;https://renewables.ninja/country_downloads/LV/renewables_ninja_country_LV_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/LV/renewables_ninja_country_LV_irradiance-surface_merra-2_land-wtd.csv;;
RO;https://renewables.ninja/country_downloads/RO/renewables_ninja_country_RO_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/RO/renewables_ninja_country_RO_irradiance-surface_merra-2_land-wtd.csv;;
PL;https://renewables.ninja/country_downloads/PL/renewables_ninja_country_PL_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/PL/renewables_ninja_country_PL_irradiance-surface_merra-2_land-wtd.csv;;
PT;https://renewables.ninja/country_downloads/PT/renewables_ninja_country_PT_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/PT/renewables_ninja_country_PT_irradiance-surface_merra-2_land-wtd.csv;;
RS;https://renewables.ninja/country_downloads/RS/renewables_ninja_country_RS_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/RS/renewables_ninja_country_RS_irradiance-surface_merra-2_land-wtd.csv;;
UA;https://renewables.ninja/country_downloads/UA/renewables_ninja_country_UA_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/UA/renewables_ninja_country_UA_irradiance-surface_merra-2_land-wtd.csv;;
TR;https://renewables.ninja/country_downloads/TR/renewables_ninja_country_TR_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/TR/renewables_ninja_country_TR_irradiance-surface_merra-2_land-wtd.csv;;
SE;https://renewables.ninja/country_downloads/SE/renewables_ninja_country_SE_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/SE/renewables_ninja_country_SE_irradiance-surface_merra-2_land-wtd.csv;;
SK;https://renewables.ninja/country_downloads/SK/renewables_ninja_country_SK_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/SK/renewables_ninja_country_SK_irradiance-surface_merra-2_land-wtd.csv;;
SI;https://renewables.ninja/country_downloads/SI/renewables_ninja_country_SI_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/SI/renewables_ninja_country_SI_irradiance-surface_merra-2_land-wtd.csv;;
XK;https://renewables.ninja/country_downloads/XK/renewables_ninja_country_XK_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/XK/renewables_ninja_country_XK_irradiance-surface_merra-2_land-wtd.csv;;
